roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,market_pre_tax,old_vs_new_diff,old_vs_new_rate,new_vs_market_diff,new_vs_market_rate,subsidy,old_final,new_final,market_final
75,67,29.48,19.5,50.32,57673.719999999994,59327.420000000006,79800.0,1653.7000000000116,2.8673371511322867,20472.579999999994,34.50778746151441,25952.47824,37488.61375999999,39307.68376,61827.52176
76,68,29.92,19.5,50.32,57863.52,59544.780000000006,80240.0,1681.2600000000093,2.9055612240665782,20695.219999999994,34.755725019052875,26094.76896,37555.103039999995,39404.48904000001,62169.23104
77,69,30.36,19.5,50.32,58053.31999999999,59762.14,80680.0,1708.820000000007,2.9435353568064793,20917.86,35.001859036507064,26237.05968,37621.592319999996,39501.29431999999,62510.94032
78,70,30.8,19.5,50.32,58243.119999999995,59979.5,81120.0,1736.3800000000047,2.9812619928328097,21140.5,35.24620912144983,26379.3504,37688.08159999999,39598.0996,62852.649600000004
79,71,31.24,19.5,50.32,58432.92,60196.86,81560.0,1763.9400000000023,3.0187435438790367,21363.14,35.488794598256455,26521.64112,37754.57088,39694.90488,63194.35888
80,72,31.68,19.5,50.32,58622.719999999994,60414.22,82000.0,1791.5000000000073,3.055982390445219,21585.78,35.729634513199045,26663.93184,37821.06015999999,39791.71016,63536.068159999995
81,72,31.68,19.5,50.32,58622.719999999994,60414.22,82000.0,1791.5000000000073,3.055982390445219,21585.78,35.729634513199045,26663.93184,37821.06015999999,39791.71016,63536.068159999995
82,73,32.12,19.5,50.32,58812.52,60631.58,82440.0,1819.060000000005,3.0929808823019402,21808.42,35.968747639431456,26806.22256,37887.54944,39888.51544,63877.777440000005
83,74,32.56,19.5,50.32,59002.31999999999,60848.94,82880.0,1846.62000000001,3.129741338984654,22031.059999999998,36.206152481867385,26948.51328,37954.03872,39985.32072,64219.48672
84,75,33.0,19.5,50.32,59192.119999999995,61066.3,83320.0,1874.1800000000076,3.1662660502783266,22253.699999999997,36.4418672819542,27090.803999999996,38020.528,40082.12600000001,64561.196
85,76,33.44,19.5,50.32,59381.92,61283.66,83760.0,1901.7400000000052,3.202557276692982,22476.339999999997,36.67591002234526,27233.09472,38087.01728,40178.93128,64902.90528
86,77,33.88,19.5,50.32,59571.719999999994,61501.020000000004,84200.0,1929.3000000000102,3.2386172499300176,22698.979999999996,36.908298431473156,27375.38544,38153.506559999994,40275.736560000005,65244.61456
87,78,34.32,19.5,50.32,59761.52,61718.380000000005,84640.0,1956.8600000000079,3.2744481733396475,22921.619999999995,37.139049988026244,27517.67616,38219.99583999999,40372.541840000005,65586.32384
88,79,34.76,19.5,50.32,59951.31999999999,61935.740000000005,85080.0,1984.4200000000128,3.3100522223697713,23144.259999999995,37.36818192533099,27659.96688,38286.48511999999,40469.34712000001,65928.03312000001
89,80,35.2,19.5,50.32,60141.119999999995,62153.100000000006,85520.0,2011.9800000000105,3.3454315450061634,23366.899999999994,37.5957112356423,27802.2576,38352.97439999999,40566.152400000006,66269.7424
90,81,35.64,19.5,50.32,60330.92,62370.46000000001,85960.0,2039.5400000000081,3.380588262204535,23589.539999999994,37.82165467434422,27944.548319999998,38419.46368,40662.95768000001,66611.45168
91,81,35.64,19.5,50.32,60330.92,62370.46000000001,85960.0,2039.5400000000081,3.380588262204535,23589.539999999994,37.82165467434422,27944.548319999998,38419.46368,40662.95768000001,66611.45168
92,82,36.08,19.5,50.32,60520.719999999994,62587.82000000001,86400.0,2067.100000000013,3.4155244683143446,23812.179999999993,38.046028764063024,28086.83904,38485.95295999999,40759.762960000015,66953.16096000001
93,83,36.52,19.5,50.32,60710.52,62805.18000000001,86840.0,2094.6600000000108,3.450242231494658,24034.819999999992,38.26884979869493,28229.12976,38552.442240000004,40856.56824000001,67294.87024
94,84,36.96,19.5,50.32,60900.31999999999,63022.54000000001,87280.0,2122.2200000000157,3.484743594122356,24257.459999999992,38.49013384735047,28371.42048,38618.931519999984,40953.37352000001,67636.57952
95,85,37.4,19.5,50.32,61090.119999999995,63239.9,87720.0,2149.780000000006,3.5190305731925333,24480.1,38.70989675821752,28513.711199999998,38685.4208,41050.1788,67978.28880000001
96,86,37.84,19.5,50.32,61279.92,63457.26000000001,88160.0,2177.340000000011,3.5531051607117163,24702.73999999999,38.92815416234484,28656.00192,38751.91008,41146.98408000001,68319.99808
97,87,38.28,19.5,50.32,61469.719999999994,63674.62,88600.0,2204.9000000000087,3.5869693240834817,24925.379999999997,39.144921477348426,28798.29264,38818.399359999996,41243.78936000001,68661.70736
98,88,38.72,19.5,50.32,61659.52,63891.98,89040.0,2232.4600000000064,3.6206250064872494,25148.019999999997,39.360213911041726,28940.58336,38884.88863999999,41340.594639999996,69003.41664
99,89,39.160000000000004,19.5,50.32,61849.31999999999,64109.340000000004,89480.0,2260.0200000000114,3.6540741272499226,25370.659999999996,39.574046464992456,29082.87408,38951.37791999999,41437.39992,69345.12591999999
100,90,39.6,19.5,50.32,62039.119999999995,64326.700000000004,89920.0,2287.580000000009,3.687318582210723,25593.299999999996,39.78643393800707,29225.1648,39017.86719999999,41534.20520000001,69686.8352
