房屋ID,州,电网类型,屋顶总容量(kW),容量系数,扩容可用容量(kW),方案A-PV(kW),方案A-面板数,方案A-逆变器(kW),方案A-容配比(%),方案A-储能(kWh),方案A-成本($),方案A-补贴($),方案A-最终报价($),方案B-PV(kW),方案B-面板数,方案B-逆变器(kW),方案B-容配比(%),方案B-储能(kWh),方案B-成本($),方案B-补贴($),方案B-最终报价($),方案C-PV(kW),方案C-面板数,方案C-逆变器(kW),方案C-容配比(%),方案C-储能(kWh),方案C-成本($),方案C-补贴($),方案C-最终报价($)
101,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
102,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
103,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
104,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
105,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
106,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
107,NSW,single,17.6,70.0%,12.32,17.60,40,10,176.0,26.400000000000002,38654.00,14235.00,24419.00,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
108,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
109,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
110,NSW,single,126.28,70.0%,88.40,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
