项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","8","B","ACT","7","3.08","5","15.00","11770.98","12975.00","8632","94.92","182.2","15.19","N/A","N/A","4.32%"
"新建系统","8","B","NT","7","3.08","5","15.00","11770.98","12975.00","10008","95.84","181.1","15.09","N/A","N/A","4.43%"
"新建系统","8","C","NSW","7","3.08","2.1","3.01","3371.34","2605.51","7778","76.80","43.9","3.66","48.3","4.02","29.53%"
"新建系统","8","C","VIC","7","3.08","2.1","3.01","3371.34","2605.51","6778","71.64","47.0","3.92","52.0","4.33","27.76%"
"新建系统","8","C","QLD","7","3.08","2.1","3.01","3371.34","2605.51","7270","79.60","42.5","3.54","46.6","3.88","30.50%"
"新建系统","8","C","SA","7","3.08","2.1","3.01","3371.34","2605.51","7129","73.49","45.9","3.82","50.5","4.21","28.39%"
"新建系统","8","C","WA","7","3.08","2.1","3.01","3371.34","2605.51","7634","79.41","42.7","3.56","46.7","3.89","30.43%"
"新建系统","8","C","TAS","7","3.08","2.1","3.01","3371.34","2605.51","10148","85.90","39.2","3.26","43.1","3.59","32.67%"
"新建系统","8","C","ACT","7","3.08","2.1","3.01","3371.34","2605.51","8632","74.95","45.0","3.75","49.4","4.12","28.90%"
"新建系统","8","C","NT","7","3.08","2.1","3.01","3371.34","2605.51","10008","89.18","37.8","3.15","41.1","3.43","33.80%"
"新建系统","9","A","NSW","8","3.52","8","22.44","17475.21","19410.60","7778","94.75","227.1","18.93","N/A","N/A","0.84%"
"新建系统","9","A","VIC","8","3.52","8","22.44","17475.21","19410.60","6778","94.46","227.6","18.96","N/A","N/A","0.81%"
"新建系统","9","A","QLD","8","3.52","8","22.44","17475.21","19410.60","7270","94.81","227.1","18.92","N/A","N/A","0.85%"
"新建系统","9","A","SA","8","3.52","8","22.44","17475.21","19410.60","7129","94.55","227.4","18.95","N/A","N/A","0.82%"
"新建系统","9","A","WA","8","3.52","8","22.44","17475.21","19410.60","7634","94.91","226.9","18.91","N/A","N/A","0.86%"
"新建系统","9","A","TAS","8","3.52","8","22.44","17475.21","19410.60","10148","95.32","226.3","18.86","N/A","N/A","0.90%"
"新建系统","9","A","ACT","8","3.52","8","22.44","17475.21","19410.60","8632","94.64","227.3","18.94","N/A","N/A","0.83%"
"新建系统","9","A","NT","8","3.52","8","22.44","17475.21","19410.60","10008","95.52","226.0","18.83","N/A","N/A","0.92%"
"新建系统","9","B","NSW","8","3.52","5","15.00","11890.05","12975.00","7778","94.75","164.3","13.69","214.2","17.85","6.14%"
"新建系统","9","B","VIC","8","3.52","5","15.00","11890.05","12975.00","6778","94.46","164.6","13.72","214.9","17.91","6.10%"
"新建系统","9","B","QLD","8","3.52","5","15.00","11890.05","12975.00","7270","94.81","164.2","13.68","214.1","17.84","6.14%"
"新建系统","9","B","SA","8","3.52","5","15.00","11890.05","12975.00","7129","94.55","164.5","13.71","214.7","17.89","6.11%"
"新建系统","9","B","WA","8","3.52","5","15.00","11890.05","12975.00","7634","94.91","164.1","13.67","213.9","17.82","6.16%"
"新建系统","9","B","TAS","8","3.52","5","15.00","11890.05","12975.00","10148","95.32","163.6","13.63","213.0","17.75","6.21%"
"新建系统","9","B","ACT","8","3.52","5","15.00","11890.05","12975.00","8632","94.64","164.4","13.70","214.5","17.87","6.12%"
"新建系统","9","B","NT","8","3.52","5","15.00","11890.05","12975.00","10008","95.52","163.3","13.61","212.5","17.71","6.24%"
"新建系统","9","C","NSW","8","3.52","2.4","3.44","3875.25","2977.72","7778","72.01","47.0","3.92","52.0","4.33","27.74%"
"新建系统","9","C","VIC","8","3.52","2.4","3.44","3875.25","2977.72","6778","66.86","50.4","4.20","56.2","4.69","25.97%"
"新建系统","9","C","QLD","8","3.52","2.4","3.44","3875.25","2977.72","7270","74.13","45.8","3.82","50.2","4.18","28.46%"
"新建系统","9","C","SA","8","3.52","2.4","3.44","3875.25","2977.72","7129","68.46","49.2","4.10","54.9","4.58","26.52%"
"新建系统","9","C","WA","8","3.52","2.4","3.44","3875.25","2977.72","7634","74.54","45.5","3.79","50.0","4.17","28.61%"
"新建系统","9","C","TAS","8","3.52","2.4","3.44","3875.25","2977.72","10148","81.27","41.9","3.49","45.8","3.82","30.92%"
"新建系统","9","C","ACT","8","3.52","2.4","3.44","3875.25","2977.72","8632","70.27","48.1","4.01","53.5","4.46","27.14%"
"新建系统","9","C","NT","8","3.52","2.4","3.44","3875.25","2977.72","10008","84.17","40.2","3.35","44.2","3.68","31.91%"
"新建系统","10","A","NSW","9","3.96","8","22.44","17594.28","19410.60","7778","94.50","207.0","17.25","N/A","N/A","2.25%"
"新建系统","10","A","VIC","9","3.96","8","22.44","17594.28","19410.60","6778","90.39","213.8","17.82","N/A","N/A","1.78%"
"新建系统","10","A","QLD","9","3.96","8","22.44","17594.28","19410.60","7270","94.57","206.9","17.24","N/A","N/A","2.25%"
"新建系统","10","A","SA","9","3.96","8","22.44","17594.28","19410.60","7129","93.20","209.2","17.43","N/A","N/A","2.10%"
"新建系统","10","A","WA","9","3.96","8","22.44","17594.28","19410.60","7634","94.65","206.8","17.23","N/A","N/A","2.26%"
"新建系统","10","A","TAS","9","3.96","8","22.44","17594.28","19410.60","10148","95.06","206.3","17.19","N/A","N/A","2.31%"
"新建系统","10","A","ACT","9","3.96","8","22.44","17594.28","19410.60","8632","94.42","207.2","17.26","N/A","N/A","2.24%"
"新建系统","10","A","NT","9","3.96","8","22.44","17594.28","19410.60","10008","95.25","206.0","17.17","N/A","N/A","2.33%"
"新建系统","10","B","NSW","9","3.96","5","15.00","12009.12","12975.00","7778","94.50","149.0","12.42","187.2","15.60","7.83%"
"新建系统","10","B","VIC","9","3.96","5","15.00","12009.12","12975.00","6778","90.39","154.1","12.84","195.1","16.26","7.25%"
"新建系统","10","B","QLD","9","3.96","5","15.00","12009.12","12975.00","7270","94.57","148.9","12.41","187.0","15.59","7.84%"
